DATE,NAME,ADDRESS,,,CHECK NO.,AMOUNT,EXPLANATION,RECORD DATE
4/23/18,LOCAL 372 NYC BOARD OF EDUCATION EMPLOYEE PA,"FL 6, 125 BARCLAY ST",NEW YORK,NY 10007,chk 1341,"$2,000.00 ",,JUL-17-18
4/23/18,LOCAL 1549 AFSCME,125 BARCLAY ST,NEW YORK,NY 10007,chk 1284,"$2,000.00 ",,JUL-17-18
4/23/18,TPU LOCAL ONE IATSE NYC STAGEHANDS NEW YORK STATE,320 W 46TH ST,NEW YORK,NY 10036,chk 1937,$500.00 ,,JUL-17-18
4/24/18,NEW YORK STATE BREWERS ASSOCIATION,PO BOX 948,LAKE PLACID,NY 12946,Credit Card,"$2,500.00 ",,JUL-17-18
4/25/18,GUARDIAN LIFE NYS PAC,"# H-23-E, 7 HANOVER SQ",NEW YORK,NY 10004,chk 2067,"$5,000.00 ",,JUL-17-18
4/25/18,UNITED SERVICE WORKERS UNION IUJAT PAC,13850 QUEENS BLVD,BRIARWOOD,NY 11435,chk 1002,"$25,000.00 ",,JUL-17-18
4/25/18,THE HARTFORD ADVOCATES FUND MULTICANDIDATE COMMITT,1 HARTFORD PLZ,HARTFORD,CT 06115,chk 6531,"$5,000.00 ",,JUL-17-18
4/25/18,NYC POLICE CAPTAINS ENDOWMENT ASSN PAC FUND,40 PECK SLIP,NEW YORK,NY 10038,chk 3025,"$2,500.00 ",,JUL-17-18
4/25/18,NORTHWESTERN MUTUAL FEDERAL PAC,720 E WISCONSIN AVE,MILWAUKEE,WI 53202,chk 5072,"$5,000.00 ",,JUL-17-18
4/25/18,MTA PBA PAC,"STE 1D, 76 S CENTRAL AVE",VALLEY STREAM,NY 11580,chk 1553,"$5,000.00 ",,JUL-17-18
4/27/18,UNITE HERE! LOCAL 100,"FL 16, 275 7TH AVE",NEW YORK,NY 10001,chk 10333,"$2,500.00 ",,JUL-17-18
4/27/18,MACQUESTEN CONSTRUCTION MANAGEMENT LLC,"STE 100, 438 FIFTH AVE",PELHAM,NY 10803,chk 23657,"$10,000.00 ",,JUL-17-18
4/30/18,IBEW NEW YORK PAC,900 7TH ST NW,WASHINGTON,DC 20001,chk 736,"$10,000.00 ",,JUL-17-18
4/30/18,NEW YORK THOROUGHBRED HORSEMEN'S ASSOCIAITON,PO BOX 170070,JAMAICA,NY 11417,chk 389,"$5,000.00 ",,JUL-17-18
4/30/18,LOCAL 147 POLITICAL ACTION COMMITTEE,4332 KATONAH AVE,BRONX,NY 10470,chk 1394,"$2,500.00 ",,JUL-17-18
5/2/18,ASSOCIATION OF MUNICIPAL EMPLOYEES PAC,"STE 102, 3880 VETERANS MEMORIAL HWY",BOHEMIA,NY 11716,chk 9000,"$2,500.00 ",,JUL-17-18
5/2/18,WELKIN MECHANICAL LLC,1445 117TH ST,COLLEGE POINT,NY 11356,chk 115682,$750.00 ,,JUL-17-18
5/9/18,UNIFORMED EMS OFFICERS UNION AFSCME LOCAL 3621 AFL,"STE 300, 4709 30TH ST",LONG ISLAND CITY,NY 11101,chk 1201,$500.00 ,,JUL-17-18
5/9/18,LABORER'S INTERNATIONAL UNION OF NORTH AMERICA LOC,20 4TH ST,ROCHESTER,NY 14609,chk 1960,"$1,000.00 ",,JUL-17-18
5/9/18,UA PLUMBERS AND PIPEFITTERS LOCAL 773 PAC,PO BOX 1396,SOUTH GLENS FALLS,NY 12803,chk 596,"$5,000.00 ",,JUL-17-18
5/9/18,RPAC OF NEW YORK STATE,130 WASHINGTON AVE,ALBANY,NY 12210,chk 22167,"$21,100.00 ",,JUL-17-18
5/13/18,UNION OF AUTOMOTIVE TECHNICIAN,66 MOUNT VERNON ST,NUTLEY,NJ 07110,chk 3222,"$1,000.00 ",,JUL-17-18
5/13/18,PORT AUTHORITY MAINTENACE SUPERVISOR ASSOCIATION,PO BOX 1088,FORT LEE,NJ 07024,chk 1515,"$2,500.00 ",,JUL-17-18
5/13/18,NASSAU COUNTY POLICE BENEVOLENT ASSOCIATION PAC,89 E JERICHO TPKE,MINEOLA,NY 11501,chk 2495,"$2,500.00 ",,JUL-17-18
5/13/18,"PORT AUTHORITY PBA, INC. NYS PAC",611 E PALISADE AVE,ENGLEWOOD CLIFFS,NJ 07632,chk 504,"$2,500.00 ",,JUL-17-18
5/14/18,NYC POLICE CAPTAINS ENDOWMENT ASSN PAC FUND,40 PECK SLIP,NEW YORK,NY 10038,chk 3029,"$1,000.00 ",,JUL-17-18
5/14/18,LABORERS LOCAL NO. 754 LPA COMMITTEE,215 OLD NYACK TPKE,CHESTNUT RDG,NY 10977,chk 3270,"$1,000.00 ",,JUL-17-18
5/14/18,UNITED FOR HEALTH PAC OF NEW YORK,9900 BREN RD E,MINNETONKA,MN 55343,chk 1170,"$15,000.00 ",,JUL-17-18
5/28/18,"THE NYS BROADCASTERS ASSOCIATION, INC PAC",1805 WESTERN AVE,ALBANY,NY 12203,chk 1061,"$2,000.00 ",,JUL-17-18
5/28/18,NRCC NY NON-PARTISAN POLITICAL EDUCATION COMMITTEE,"STE 1, 111 STATE ST",ALBANY,NY 12207,chk 2211,"$5,500.00 ",,JUL-17-18
5/28/18,GREENBERG TRAURIG P.A. PAC,"FL 6, 54 STATE ST",ALBANY,NY 12207,chk 3666,"$10,000.00 ",,JUL-17-18
5/28/18,FRIENDS OF ANTHONY M. MASIELLO,115 FRONTENAC AVE,BUFFALO,NY 14216,chk 1001,"$1,000.00 ",,JUL-17-18
5/30/18,BRIDGE & TUNNEL OFFICERS BENEVOLENT ASSOCIATION PA,"SUITE A/B, 1140 BAY ST",STATEN ISLAND,NY 10305,chk 2726,$450.00 ,,JUL-17-18
5/30/18,UNITED CEMENT MASONS' UNION LOCAL 780 PAC FUND,"STE 4, 15050 14TH RD",WHITESTONE,NY 11357,chk 10006,$500.00 ,,JUL-17-18
5/31/18,NYS TELPAC,20 CORPORATE WOODS BLVD,ALBANY,NY 12211,chk 186,"$1,000.00 ",,JUL-17-18
5/31/18,IBT JOINT COUNCIL NO. 16 PAC,"STE 1201, 265 W 14TH ST",NEW YORK,NY 10011,chk 1464,"$7,000.00 ",,JUL-17-18
5/31/18,TEAMSTERS LOCAL UNION NO. 807,3243 49TH ST,LONG ISLAND CITY,NY 11103,chk 16819,"$1,000.00 ",,JUL-17-18
5/31/18,TEAMSTERS LOCAL UNION NO. 553,"STE 305, 265 W 14TH ST",NEW YORK,NY 10011,chk 22879,"$3,000.00 ",,JUL-17-18
5/31/18,SOFT DRINK BREWERY WORKERS PAC,"STE 30, 445 NORTHERN BLVD",GREAT NECK,NY 11021,chk 1215,"$25,000.00 ",,JUL-17-18
5/31/18,LOCAL 813 IBT POLITICAL ACTION FUND,"STE 600, 4518 COURT SQ",LONG ISLAND CITY ,NY 11101,chk 1076,"$1,000.00 ",,JUL-17-18
5/31/18,TEAMSTERS LOCAL UNION NO. 210,"FL 11, 55 BROAD ST",NEW YORK,NY 10004,chk 32208,"$5,000.00 ",,JUL-17-18
5/31/18,UNIFORMED SANITATIONMEN'S ASSOCIATION LOCAL 831 -,25 CLIFF ST,NEW YORK,NY 10038,chk 2856,"$2,000.00 ",,JUL-17-18
5/31/18,TEAMSTERS LOCAL UNION NO. 272,"STE 801, 220 E 23RD ST",NEW YORK,NY 10010,chk 36548,"$2,500.00 ",,JUL-17-18
5/31/18,TEAMSTERS LOCAL UNION NO. 295,33 W HAWTHORNE AVE,VALLEY STEAMS,NY 11580,chk 22599,"$2,500.00 ",,JUL-17-18
5/31/18,TEAMSTERS LOCAL UNION NO. 282,2500 MARCUS AVE,NEW HYDE PARK,NY 11042,chk 39310,"$5,000.00 ",,JUL-17-18
6/2/18,NEW YORK ADMINISTRATIVE EMPLOYERS C.W.A LOCAL 1180,"FL 4, 6 HARRISON ST",NEW YORK,NY 10013,chk 34120,"$2,500.00 ",,JUL-17-18
6/2/18,FRIENDS OF STEVE COHN,"STE 2304, 16 COURT ST",BROOKLYN,NY 11241,chk 1531,$250.00 ,,JUL-17-18
6/8/18,NASSAU COUNTY POLICE BENEVOLENT ASSOCIATION,89 E JERICHO TPKE,MINEOLA,NY 11501,chk 2500,"$2,000.00 ",,JUL-17-18
6/8/18,LOCAL 1102 RWDSU,311 CROSSWAYS PARK DR,WOODBURY,NY 11797,chk 9350,"$2,000.00 ",,JUL-17-18
6/8/18,UNITED TRANSPORTATION UNION PAC,"STE 3, 200B W MAIN ST",BABYLON,NY 11702,chk 015789,"$5,000.00 ",,JUL-17-18
6/12/18,FRIENDS OF ANTHONY M. MASIELLO,115 FRONTENAC AVE,BUFFALO,NY 14216,chk 1007,"$5,000.00 ",,JUL-17-18
6/14/18,TBTA SUPERIOR OFFICERS BENEVOLENT ASSN. PAC,225 JERICHO TPKE,FLORAL PARK,NY 11001,chk 1768,"$5,000.00 ",,JUL-17-18
6/15/18,TRANSPORT WORKERS UNION LOCAL 1400,"STE 114, 115 RIVER RD",EDGEWATER,NJ 07020,chk 6027,"$25,000.00 ",,JUL-17-18
6/18/18,"LOCAL 891, IUOE STATE EPEC","UNIT 358, 63 FLUSHING AVE",BROOKLYN,NY 11205,chk 0616,"$25,000.00 ",,JUL-17-18
6/18/18,THE HELENA ASSOCIATES LLC,"FL 48, 1 BRYANT PARK",NEW YORK,NY 10036,chk 15088,"$20,000.00 ",,JUL-17-18
6/18/18,DOLP 205 PROPERTIES LLC,1155 AVENUE OF THE AMERICAS,NEW YORK,NY 10036,chk 15088,"$20,000.00 ",,JUL-17-18
6/19/18,GREENBERG TRAURIG P.A. PAC,"FL 6, 54 STATE ST",ALBANY,NY 12207,chk 3697,"$2,000.00 ",,JUL-17-18
6/19/18,STATIONARY ENGINEERS EDUCATION FUND LOCAL 30,1616 WHITESTONE EXPY,WHITESTONE,NY 11357,chk 1439,"$25,000.00 ",,JUL-17-18
6/19/18,NEW YORK STATE CONFERENCE OPERATING ENGINEERS LOCAL 1 OPERATING ENGINEERS LOCAL 1,4440 11TH ST,LONG ISLAND,NY 11101,chk 1133,"$25,000.00 ",,JUL-17-18
6/19/18,INTERNATIONAL UNION OF OPERATING ENGINEERS LOCAL 1 OPERATING ENGINEERS LOCAL 1,14157 NORTHERN BLVD,FLUSHING,NY 11354,chk 4883,"$25,000.00 ",,JUL-17-18
6/19/18,NYS RADIOLOGISTS PAC,"STE 402, 99 WASHINGTON AVE",ALBANY,NY 12210,chk 1137,"$2,000.00 ",,JUL-17-18
6/19/18,LOCAL 94-94A-94B IUOE PAC,"# 337, 331 W 44TH ST",NEW YORK,NY 10036,chk 1948,"$25,000.00 ",,JUL-17-18
6/19/18,"IUOE LOCAL UNION 15 15A 15B 15C 15D, AFL-CIO STATE",4440 11TH ST,LONG ISLAND CITY,NY 11101,chk 1341,"$25,000.00 ",,JUL-17-18
6/21/18,DISTRICT COUNCIL 37 POLITICAL ACTION COMMITTEE,125 BARCLAY ST,NEW YORK,NY 10007,chk 4549,"$10,000.00 ",,JUL-17-18
6/26/18,SHEET METAL WORKERS LU 28 PAL,500 GREENWICH ST,NEW YORK,NY 10013,chk 3427,"$10,000.00 ",,JUL-17-18
6/27/18,UNITED FOR HEALTH PAC OF NEW YORK,9900 BREN RD E,MINNETONKA,MN 55343,chk 1172,"$5,000.00 ",,JUL-17-18
6/28/18,LOCAL 32BJ NY/NJ AMERICAN DREAM FUND,"FL 5, 25 W 18TH ST",NEW YORK,NY 10011,chk 6596,"$15,000.00 ",,JUL-17-18
6/29/18,NYSPT POLITICAL ACTION COMMITTEE,PO BOX 312,GLENS FALLS,NY 12801,chk 769,"$22,000.00 ",,JUL-17-18
7/2/18,THE NYS MOVERS & WAREHOUSEMEN'S ASSOC. PAC,14 ALLENDALE RD,BINGHAMTON,NY 13903,chk 1090,"$1,000.00 ",,JUL-17-18
7/2/18,CWA DISTRICT ONE PAC,"FL 37, 80 PINE ST",NEW YORK,NY 10005,chk 4814,"$20,000.00 ",,JUL-17-18
7/3/18,NEW YORK BANKERS COMMUNITY PAC STATE FUND,"FRNT 4, 99 PARK AVE",NEW YORK,NY 10016,chk 1464,"$10,000.00 ",,JUL-17-18
7/5/18,MEDICAL SOCIETY OF THE STATE OF NEW YORK PAC,865 MERRICK AVE,WESTBURY,NY 11590,chk 2265,"$4,600.00 ",,JUL-17-18
7/5/18,METROPOLITAN PACKAGE STORE ASSOCIATION PAC,"# 222, 1971 WESTERN AVE",ALBANY,NY 12203,chk 1260,"$15,000.00 ",,JUL-17-18
7/5/18,"NEW YORK STATE PSYCHIATRIC PAC, INC.","STE 202, 400 GARDEN CITY PLZ",GARDEN CITY,NY 11530,chk 615,"$2,500.00 ",,JUL-17-18
7/5/18,TC ELECTRIC LLC,1445 117TH ST,COLLEGE POINT,NY 11356,chk 682188,"$7,500.00 ",,JUL-17-18
7/5/18,METROPOLITAN PACKAGE STORE ASSOCIATION,73 CLARK ST,BROOKLYN,NY 11201,chk 1118,"$5,000.00 ",,JUL-17-18
7/6/18,ASSOCIATION OF MUNICIPAL EMPLOYEES PAC,"STE 102, 3880 VETERANS MEMORIAL HWY",BOHEMIA,NY 11716,chk 9048,"$10,000.00 ",,JUL-17-18
7/6/18,UNIFORMED EMS OFFICERS UNION AFSCME LOCAL 3621 AFL,"STE 300, 4709 30TH ST",LONG ISLAND CITY,NY 11101,chk 1217,"$2,500.00 ",,JUL-17-18
7/6/18,CONSTRUCTION INDUSTRY COUNCIL NYS PAC,629 WHITE PLAINS ROAD,TARRYTOWN,NY 10591,chk 2053,"$7,500.00 ",,JUL-17-18
7/9/18,NEW YORK STATE AFL-CIO COPE ACCOUNT,100 S SWAN ST,ALBANY,NY 12210,chk 3287,"$65,000.00 ",,JUL-17-18
7/9/18,TRANSPORT WORKERS UNIONLOCAL 1400,"STE 114, 115 RIVER RD",EDGEWATER,NJ 07020,chk 6055,"$30,000.00 ",,JUL-17-18
7/9/18,DLA PIPER NEW YORK PAC,500 8TH ST NW,WASHINGTON,DC 20004,chk 1140,"$2,500.00 ",,JUL-17-18
7/10/18,IUOE LOCAL 158 VPAF STATE AND LOCAL ,44 HANNAY LN,GLENMONT,NY 12077,chk 1530,"$25,000.00 ",,JUL-17-18
7/10/18,NEW YORK STATE NURSES ASSOCIATION PAC,11 CORNELL RD,LATHAM,NY 12110,chk 1438,"$64,600.00 ",,JUL-17-18
7/11/18,LOCAL 147 POLITICAL ACTION COMMITTEE,4332 KATONAH AVE,BRONX,NY 10470,chk 1400,"$15,000.00 ",,JUL-17-18
7/11/18,CORRECTION OFFICERS BENEVOLENT ASSOCIATION PAC,"RM 810, 75 BROAD ST",NEW YORK,NY 10004,chk 1139,"$10,000.00 ",,JUL-17-18
7/11/18,NEW YORK COUNCIL OF MACHINISTS POLITICAL ACTION FU,"FL 2, 652 4TH AVE",BROOKLYN,NY 11232,chk 1040,"$5,000.00 ",,JUL-17-18
7/11/18,GREATER NEW YORK NURSING HOME PAC,9 LEGENDS CIR,MELVILLE,NY 11747,chk 1082,"$5,000.00 ",,JUL-17-18
7/11/18,LONG ISLAND CONTRACTORS ASSOCIATION PAC,"ATTN: MARC HERBST, 150 MOTOR PKWY",HAUPPAUGE,NY 11788,chk 1392,"$25,000.00 ",,JUL-17-18
7/11/18,FEDEX CORPORATION NEW YORK STATE PAC,"FL 1, 942 SHADY GROVE RD S",MEMPHIS,TN 38120,chk 55-1672,"$5,000.00 ",,JUL-17-18
7/12/18,COMMITTEE FOR ACTION FOR A RESPONSIBLE ELECTORATE,"STE 300, 33 ELK ST",ALBANY,NY 12207,chk 308,"$5,000.00 ",,JUL-17-18
7/12/18,LOCAL 6 COMMITTEE ON POLIICAL EDUCATION ,709 8TH AVE,NEW YORK,NY 10036,chk 3050,"$17,600.00 ",,JUL-17-18
7/12/18,NEW YORK HOTEL TRADES COUNCIL NON FEERAL COPE,707 8TH AVE,NEW YORK,NY 10036,chk 1366,"$17,600.00 ",,JUL-17-18
7/12/18,NYS AUTOMATIC VENDING ASSOCIATION PAC,88 OLIVE ST,JOHNSON CITY,NY 13790,chk 1076,"$5,000.00 ",,JUL-17-18
7/12/18,UNITED FOR HEALTH PAC OF NEW YORK,9900 BREN RD E,MINNETONKA,MN 55343,chk 1178,"$10,000.00 ",,JUL-17-18
7/13/18,EDGEWATER INDUSTRIAL PARK LLC,700 HICKSVILLE RD,BETHPAGE,NY 11714,chk 12934,"$2,500.00 ",,JUL-17-18
7/13/18,EDGEWATER INDUSTRIAL PARK LLC,700 HICKSVILLE RD,BETHPAGE,NY 11714,chk 22269,"$2,500.00 ",,JUL-17-18
7/13/18,NEW YORK STATE PAC COUNCIL UAW REGION 9 AND 9A,"STE 100, 35 GEORGE KARL BLVD",BUFFALO,NY 14221,chk 1810,"$19,000.00 ",,JUL-17-18
7/13/18,NRCC NY NON-PARTISAN POLITICAL EDUCATION COMMITTEE,"STE 1, 111 STATE ST",ALBANY,NY 12207,chk 2236,"$65,000.00 ",,JUL-17-18
7/15/18,VALESKY FOR SENATE,PO BOX 44,CAMILLUS,NY 13031,chk 3867,$500.00 ,,JUL-17-18
7/15/18,PEOPLE FOR MAGNARELLI,PO BOX 6506,SYRACUSE,NY 13217,chk 3126,$25.00 ,,JUL-17-18
7/15/18,NYS COUNSIL SHEET METAL WORKERS PAC,301 PULASKI ST,SYRACUSE,NY 13204,chk 1009,"$5,000.00 ",,JUL-17-18
7/15/18,COZEN O'CONNOR,277 PARK AVE,NEW YORK,NY 10172,chk 1500,"$1,500.00 ",,JUL-17-18
